Course,Branch,College,Collegeid
bed,VI,AIRSR,523
btech,AIDS,ADGITM - E,962
btech,AIDS,ADGITM - M,156
btech,AIDS,DTC - M,180
btech,AIDS,HMR - M,133
btech,AIDS,JIMSEMTC,255
btech,AIDS,USAR,190
btech,AIDS,VIPS,177
btech,AIML,ADGITM - E,962
btech,AIML,ADGITM - M,156
btech,AIML,BMIET,553
btech,AIML,DTC - M,180
btech,AIML,HMR - M,133
btech,AIML,JIMSEMTC,255
btech,AIML,USAR,190
btech,AIML,VIPS,177
btech,AR,USAR,190
btech,BCE,USCT,161
btech,BT,USB,160
btech,CIV,ADGITM - E,962
btech,CIV,ADGITM - M,156
btech,CIV,CBPGEC,207
btech,CIV,DTC - E,256
btech,CIV,DTC - M,180
btech,CIV,JIMSEMTC,255
btech,CIV,MVSIT,551
btech,CSE,ADGITM - E,962
btech,CSE,ADGITM - M,156
btech,CSE,AIACTR,101
btech,CSE,ASET,104
btech,CSE,BPIT,208
btech,CSE,BVCOE - E,512
btech,CSE,BVCOE - M,115
btech,CSE,DTC - E,256
btech,CSE,DTC - M,180
btech,CSE,GBPGEC,209
btech,CSE,GTBIT - E,768
btech,CSE,GTBIT - M,132
btech,CSE,HMR - E,965
btech,CSE,HMR - M,133
btech,CSE,JIMSEMTC,255
btech,CSE,MAIT - E,964
btech,CSE,MAIT - M,148
btech,CSE,MSIT - E,963
btech,CSE,MSIT - M,150
btech,CSE,MVSIT,551
btech,CSE,USICT,164
btech,CS,ADGITM - E,962
btech,CS,ADGITM - M,156
btech,CS,BPIT - E,961
btech,CS,BPIT - M,114
btech,CS,DTC - E,966
btech,CS,DTC - M,180
btech,CS,GBPGEC,209
btech,CS,GTBIT - E,768
btech,CS,GTBIT - M,132
btech,CS,HMR - E,965
btech,CS,HMR - M,133
btech,CS,JIMSEMTC,255
btech,CS,MAIT - E,964
btech,CS,MAIT - M,148
btech,CS,MSIT - E,963
btech,CS,MSIT - M,150
btech,CS,MVSIT,551
btech,CS,USICT,164
btech,CSAM,VIPS,177
btech,CSE-AI,MAIT - M,148
btech,CSE-AI,USICT,164
btech,CSE-AIML,BVCOE - M,115
btech,CSE-AIML,GTB4CEC,238
btech,CSE-AIML,GTBIT - M,132
btech,CSE-AIML,MAIT - M,148
btech,CSE-AIML,TIIPS,279
btech,CSE-DS,BPIT,208
btech,CSE-DS,GTB4CEC,238
btech,CSE-DS,GTBIT - M,132
btech,CSE-DS,HMR - M,133
btech,CSE-DS,MAIT - M,148
btech,CSE-DS,USICT,164
btech,CST,ADGITM - E,962
btech,CST,ADGITM - M,156
btech,CST,BPIT,208
btech,CST,DTC - M,180
btech,CST,GTB4CEC,238
btech,CST,GTBIT - M,132
btech,CST,HMR - M,133
btech,CST,JIMS-E,138
btech,CST,JIMS-V,168
btech,CST,MAIT - M,148
btech,CST,MSIT - M,150
btech,CST,NIEC,152
btech,CST,TIIPS,279
btech,CST,USICT,164
btech,CST,VIPS,177
btech,CT,USCT,161
btech,ECE,ADGITM - E,962
btech,ECE,ADGITM - M,156
btech,ECE,BPIT,208
btech,ECE,BVCOE - M,115
btech,ECE,GTB4CEC,238
btech,ECE,GTBIT - M,132
btech,ECE,MAIT - M,148
btech,ECE,MSIT - E,963
btech,ECE,MSIT - M,150
btech,ECE,USICT,164
btech,ECE-ACT,MAIT - M,148
btech,EE,JIMSEMTC,255
btech,EE,MVSIT,551
btech,EE-VLSI,MAIT - M,148
btech,EE-VLSI,VIPS,177
btech,EEE,BPIT,208
btech,EEE,BVCOE - M,115
btech,EEE,MAIT - M,148
btech,EEE,MSIT - M,150
btech,ENERGY,USCT,161
btech,ENV,CBPGEC,207
btech,ICE,ASET,104
btech,ICE,BVCOE - M,115
btech,IOT,USAR,190
btech,IOT,VIPS,177
btech,IT,ADGITM - E,962
btech,IT,ADGITM - M,156
btech,IT,BPIT,208
btech,IT,BVCOE - M,115
btech,IT,GNIT,272
btech,IT,GTBIT - E,768
btech,IT,GTBIT - M,132
btech,IT,MAIT - M,148
btech,IT,MSIT - E,963
btech,IT,MSIT - M,150
btech,IT,TIIPS,279
btech,IT,USICT,164
btech,ITE,MAIT - M,148
btech,MAE,MAIT - M,148
btech,MAE,ADGITM - M,156
btech,ME,ADGITM - M,156
btech,ME,GNIT,272
btech,ME,HMR - M,133
btech,ME,MAIT - M,148
btech,ME,SBIT,899
btech,MET,DITE,702
btech,PE,NPTI,153
btech,TE,DITE,702
bvoc,A,GBPIT,220
bvoc,AA,MBIT,219
bvoc,CT,ABIT,267
bvoc,CT,GBPIT,220
bvoc,ID,MBIT,219
bvoc,MC,AIT,248
bvoc,MC,BPIBS,114
bvoc,MC,GNDIT,265
bvoc,PDM,PIT,266
bvoc,PT,PIT,266
bvoc,RAC,ABIT,267
bvoc,RAC,GBPIT,220
bvoc,SD,AIT,248
bvoc,SD,BPIBS,114
bvoc,SD,GNDIT,265
bvoc,SD,IIT,501
bvoc,SD,KGIT,264
llb,BA%26LLB,ALS,103
llb,BA%26LLB,BLSITM,205
llb,BA%26LLB,CPJCHS,215
llb,BA%26LLB,DIRD,224
llb,BA%26LLB,DME,511
llb,BA%26LLB,FIMT,901
llb,BA%26LLB,IIMT,134
llb,BA%26LLB,JIMSEMTC,255
llb,BA%26LLB,SKCE,799
llb,BA%26LLB,USLLS,165
llb,BA%26LLB,VIPS,177
llb,BBA%26LLB,CPJCHS,215
llb,BBA%26LLB,DIRD,224
llb,BBA%26LLB,DME,511
llb,BBA%26LLB,FIMT,901
llb,BBA%26LLB,JIMSEMTC,255
llb,BBA%26LLB,SKCE,799
llb,BBA%26LLB,USLLS,165
llb,BBA%26LLB,VIPS,177
llb,AHM,DIHRM,409
llb,CPHM,DIHRM,409
llb,CRIMINOLOGY,LNJNNICFC,185
llb,ECONOMICS,USHSS,216
llb,ENGLISH,USHSS,216
mba,A,USMS,166
mba,DM,CDMS,263
mba,FA,USMS,166
mba,FIS,USFIS,223
mba,FM-593,USMS,166
mba,FM-595,DIAS,123
mba,GENERAL,ABS,275
mba,GENERAL,ADGITM,156
mba,GENERAL,AIMT,184
mba,GENERAL,BCIPS,612
mba,GENERAL,BMIET,553
mba,GENERAL,BPIBS,114
mba,GENERAL,BPIT,208
mba,GENERAL,DIAS,123
mba,GENERAL,DTC,180
mba,GENERAL,GIBS,191
mba,GENERAL,GIBS,800
mba,GENERAL,IITM,137
mba,GENERAL,MAIT,148
mba,GENERAL,MERI,151
mba,GENERAL,MERI,351
mba,GENERAL,PMCC,179
mba,GENERAL,RDIAS,159
mba,GENERAL,RDIAS,803
mba,GENERAL,TIAS,170
mba,GENERAL,TIAS,213
mba,GENERAL,USMS,166
mba,IB,GIBS,191
mba,IT,CDAC,118
mba,WEEKEND,USMS,166
mplan,MPLAN,USAP,173
bhmct,BHMCT,BHIHMCT,110
mca,DUALDEGREE,GIBS,191
mca,GENERAL,GIBS,191
mca,GENERAL,ADGITM - M,156
mca,GENERAL,BCIIT,111
mca,GENERAL,BPIBS,114
mca,GENERAL,BVICAM,116
mca,GENERAL,BVICAM,353
mca,GENERAL,CDAC,118
mca,GENERAL,DIAS,123
mca,GENERAL,GIBS,191
mca,GENERAL,GNIM,130
mca,GENERAL,IITM,137
mca,GENERAL,JIMS-R,140
mca,GENERAL,JIMS-R,504
mca,GENERAL,LBSIM,145
mca,GENERAL,MERI,151
mca,GENERAL,MERI,351
mca,GENERAL,RCIT,158
mca,GENERAL,RDIAS,159
mca,GENERAL,RDIAS,803
mca,GENERAL,TIAS,170
mca,GENERAL,TIAS,213
mca,GENERAL,VIPS,177
mca,SE,USICT,164
med,GENERAL,USE,699
med,SE-ID,NIMH,178
mdes,GENERAL-451,USDI,182
mdes,INTERIOR-459,USDI,182
barch,BARCH,BMSA,260
barch,BARCH,DTC - M,180
barch,BARCH,MBSPA,593
barch,BARCH,USAP,173
barch,BARCH,VKA,176
bcom,BCOM,CPJCHS,215
bcom,BCOM,CPJCHS,242
bcom,BCOM,DIRD,124
bcom,BCOM,DSPSR,125
bcom,BCOM,DSPSR,217
bcom,BCOM,FIMT,901
bcom,BCOM,GNIM,130
bcom,BCOM,IITM2,244
bcom,BCOM,IITM2,903
bcom,BCOM,JIMS-K,141
bcom,BCOM,JIMS-K,245
bcom,BCOM,KIHEAT,967
bcom,BCOM,KRCHE,193
bcom,BCOM,LLDIMS,192
bcom,BCOM,MAIMS,147
bcom,BCOM,MAIMS,611
bcom,BCOM,MSI,149
bcom,BCOM,RCIT,158
bcom,BCOM,SHDCHE,969
bcom,BCOM,TIPS,206
bcom,BCOM,TIPS,240
bcom,BCOM,VIPS,177
bca,BCA,AIT,248
bca,BCA,BLSITM,205
bca,BCA,COMMIT,120
bca,BCA,CPJCHS,215
bca,BCA,CPJCHS,242
bca,BCA,FIMT,514
bca,BCA,FIMT,901
bca,BCA,IIT,501
bca,BCA,IITM2,244
bca,BCA,IITM2,903
bca,BCA,IITM,137
bca,BCA,IITM,211
bca,BCA,JIMS-R,140
bca,BCA,JIMS-R,504
bca,BCA,JIMS-VK,142
bca,BCA,JIMS-VK,214
bca,BCA,JIMSEMTC,255
bca,BCA,KIHEAT,967
bca,BCA,KIRAS,144
bca,BCA,MSI,149
bca,BCA,MSI,212
bca,BCA,RCIT,158
bca,BCA,SGIT,247
bca,BCA,SGTBIMIT,902
bca,BCA,SIMS,167
bca,BCA,SIMS,243
bca,BCA,TIHE,172
bca,BCA,TIPS,206
bca,BCA,TIPS,240
bca,BCA,VIPS,177
bca,BCA,VIPS,298
bdes,GENERAL-416,USID,182
bdes,INDUSTRIAL-418,USID,182
bdes,INTERACTION-419,USID,182
bdes,INTERIOR-417,USID,182
